mindate,maxdate,name,datacoverage,id
1976-11-11,2014-01-01,"Greenville, MS US",0.0098,CITY:US280006
1977-07-08,2014-01-01,"Greenwood, MS US",0.0102,CITY:US280007
1979-10-04,2013-09-01,"Grenada, MS US",0.0089,CITY:US280008
1971-05-08,2014-01-01,"Gulfport, MS US",0.0124,CITY:US280009
1971-05-07,2014-01-01,"Hattiesburg, MS US",0.0114,CITY:US280010
1976-11-11,2002-05-01,"McComb, MS US",0.0095,CITY:US280013
1997-08-01,1999-10-01,"Meridian, MS US",0.0014,CITY:US280014
1971-05-06,2014-01-01,"Natchez, MS US",0.0099,CITY:US280015
1971-05-06,2014-01-01,"Oxford, MS US",0.0134,CITY:US280016
1971-05-06,1993-10-30,"Tupelo, MS US",0.0135,CITY:US280018
1971-05-06,2014-01-01,"Vicksburg, MS US",0.0105,CITY:US280019
1971-10-23,2013-09-01,"Yazoo City, MS US",0.0102,CITY:US280020
1971-04-13,2014-01-01,"Excelsior Springs, MO US",0.0105,CITY:US290003
1971-05-01,2014-01-01,"Farmington, MO US",0.0099,CITY:US290004
1971-05-01,2014-01-01,"Jefferson City, MO US",0.0093,CITY:US290006
1971-05-01,2012-01-01,"Joplin, MO US",0.0086,CITY:US290007
1971-02-04,2014-01-01,"Kansas City, MO US",0.0124,CITY:US290008
1984-01-01,2014-01-01,"Kennett, MO US",0.0148,CITY:US290009
1971-04-01,2014-01-01,"Kirksville, MO US",0.0086,CITY:US290010
1971-05-01,2014-01-01,"Lebanon, MO US",0.0093,CITY:US290011
1971-05-01,2014-01-01,"Marshall, MO US",0.0065,CITY:US290012
1972-07-07,2002-10-01,"Maryville, MO US",0.0065,CITY:US290013
1971-04-01,2014-01-01,"Moberly, MO US",0.0119,CITY:US290014
1971-05-01,2014-01-01,"Poplar Bluff, MO US",0.0096,CITY:US290015
1984-01-01,2014-01-01,"Rolla, MO US",0.0131,CITY:US290016
1984-01-01,1988-06-01,"Sedalia, MO US",0.0151,CITY:US290017
2011-10-01,2014-01-01,"Springfield, MO US",0.009,CITY:US290019
1971-05-01,2014-01-01,"St. Joseph, MO US",0.0083,CITY:US290020
